id,exam_year,kind,number,section,start_page,end_page,num_alternatives,has_assets,num_assets,answer,answer_validation_status,answer_standard_available,extraction_method,extraction_status,warning_count,warnings
enade-2011-computing-d01,2011,discursive,1,formacao-geral-discursiva,7,7,0,False,0,,not_applicable,True,text_layer,verified,0,
enade-2011-computing-d02,2011,discursive,2,formacao-geral-discursiva,8,8,0,False,0,,not_applicable,True,text_layer,verified,0,
enade-2011-computing-d03,2011,discursive,3,componente-especifico-comum-discursiva,18,18,0,True,1,,not_applicable,True,text_layer,verified,0,
enade-2011-computing-d04,2011,discursive,4,componente-especifico-comum-discursiva,19,19,0,False,0,,not_applicable,True,text_layer,verified,0,
enade-2011-computing-d05,2011,discursive,5,componente-especifico-comum-discursiva,20,20,0,False,0,,not_applicable,True,text_layer,verified,0,
enade-2011-computing-q01,2011,multiple_choice,1,formacao-geral-objetiva,2,2,5,False,0,D,validated,False,text_layer,verified,0,
enade-2011-computing-q02,2011,multiple_choice,2,formacao-geral-objetiva,2,2,5,False,0,A,validated,False,text_layer,verified,0,
enade-2011-computing-q03,2011,multiple_choice,3,formacao-geral-objetiva,3,3,5,False,0,E,validated,False,text_layer,verified,0,
enade-2011-computing-q04,2011,multiple_choice,4,formacao-geral-objetiva,3,3,5,False,0,A,validated,False,text_layer,verified,0,
enade-2011-computing-q05,2011,multiple_choice,5,formacao-geral-objetiva,4,4,5,True,1,C,validated,False,text_layer,verified,0,
enade-2011-computing-q06,2011,multiple_choice,6,formacao-geral-objetiva,5,5,5,True,1,B,validated,False,text_layer,verified,0,
enade-2011-computing-q07,2011,multiple_choice,7,formacao-geral-objetiva,5,5,5,False,0,B,validated,False,text_layer,verified,0,
enade-2011-computing-q08,2011,multiple_choice,8,formacao-geral-objetiva,6,6,5,False,0,E,validated,False,text_layer,verified,0,
enade-2011-computing-q09,2011,multiple_choice,9,componente-especifico-comum-objetiva,9,9,5,True,4,D,validated,False,text_layer,verified,0,
enade-2011-computing-q10,2011,multiple_choice,10,componente-especifico-comum-objetiva,9,9,5,False,0,E,validated,False,text_layer,verified,0,
enade-2011-computing-q11,2011,multiple_choice,11,componente-especifico-comum-objetiva,10,10,5,False,0,C,validated,False,text_layer,verified,0,
enade-2011-computing-q12,2011,multiple_choice,12,componente-especifico-comum-objetiva,10,10,5,True,1,B,validated,False,text_layer,verified,0,
enade-2011-computing-q13,2011,multiple_choice,13,componente-especifico-comum-objetiva,10,10,5,False,0,,annulled,False,text_layer,verified,0,
enade-2011-computing-q14,2011,multiple_choice,14,componente-especifico-comum-objetiva,11,11,5,True,7,E,validated,False,text_layer,verified,0,
enade-2011-computing-q15,2011,multiple_choice,15,componente-especifico-comum-objetiva,11,11,5,False,0,D,validated,False,text_layer,verified,0,
enade-2011-computing-q16,2011,multiple_choice,16,componente-especifico-comum-objetiva,11,11,5,False,0,A,validated,False,text_layer,verified,0,
enade-2011-computing-q17,2011,multiple_choice,17,componente-especifico-comum-objetiva,12,12,5,True,2,B,validated,False,text_layer,verified,0,
enade-2011-computing-q18,2011,multiple_choice,18,componente-especifico-comum-objetiva,13,13,5,False,0,B,validated,False,text_layer,verified,0,
enade-2011-computing-q19,2011,multiple_choice,19,componente-especifico-comum-objetiva,13,13,5,False,0,E,validated,False,text_layer,verified,0,
enade-2011-computing-q20,2011,multiple_choice,20,componente-especifico-comum-objetiva,13,13,5,True,1,D,validated,False,text_layer,verified,0,
enade-2011-computing-q21,2011,multiple_choice,21,componente-especifico-comum-objetiva,13,13,5,False,0,A,validated,False,text_layer,verified,0,
enade-2011-computing-q22,2011,multiple_choice,22,componente-especifico-comum-objetiva,14,14,5,True,1,C,validated,False,text_layer,verified,0,
enade-2011-computing-q23,2011,multiple_choice,23,componente-especifico-comum-objetiva,14,14,5,True,3,C,validated,False,text_layer,needs_review,1,2 figure region(s) fell after the alternatives cutoff and were excluded from the statement (unexpected layout - needs review)
enade-2011-computing-q24,2011,multiple_choice,24,componente-especifico-comum-objetiva,15,15,5,False,0,C,validated,False,text_layer,verified,0,
enade-2011-computing-q25,2011,multiple_choice,25,componente-especifico-comum-objetiva,15,15,5,False,0,E,validated,False,text_layer,verified,0,
enade-2011-computing-q26,2011,multiple_choice,26,componente-especifico-comum-objetiva,15,15,5,True,1,D,validated,False,text_layer,verified,0,
enade-2011-computing-q27,2011,multiple_choice,27,componente-especifico-comum-objetiva,16,16,5,False,0,E,validated,False,text_layer,needs_review,0,
enade-2011-computing-q28,2011,multiple_choice,28,componente-especifico-comum-objetiva,16,16,5,False,0,B,validated,False,text_layer,verified,0,
